Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2021-05-31 19:42:20,31.05.2021,*7197,OK,-240.0,RUB,-240.0,RUB,,Супермаркеты,5411.0,IP Bartsits O.R.,4,0,240.0
2021-05-30 17:30:24,30.05.2021,*7197,OK,-211.5,RUB,-211.5,RUB,,Супермаркеты,5411.0,OOO Assorti Product,4,0,211.5
2021-05-29 23:08:27,29.05.2021,,OK,-1890.0,RUB,-1890.0,RUB,,Услуги банка,,Плата за обслуживание,0,0,1890.0
2021-05-29 22:52:14,29.05.2021,,OK,-59.0,RUB,-59.0,RUB,,Услуги банка,,Плата за оповещения об операциях,0,0,59.0
2021-05-29 19:48:48,29.05.2021,*7197,OK,-70.0,RUB,-70.0,RUB,,Супермаркеты,5411.0,"""Erik""",1,0,70.0
2021-05-29 14:49:17,29.05.2021,*4556,OK,-1120.0,RUB,-1120.0,RUB,,Переводы,6012.0,Перевод на карту,0,0,1120.0
2021-05-29 00:54:15,29.05.2021,*7197,OK,-250.0,RUB,-250.0,RUB,,Связь,4814.0,МТС,0,0,250.0
2021-05-28 21:33:39,29.05.2021,*7197,OK,-70.0,RUB,-70.0,RUB,,Супермаркеты,5411.0,"""Erik""",1,0,70.0
2021-05-28 11:30:36,28.05.2021,*7197,OK,-60.0,RUB,-60.0,RUB,,Супермаркеты,5411.0,IP Bartsits O.R.,1,0,60.0
2021-05-28 11:27:26,28.05.2021,*7197,OK,-120.0,RUB,-120.0,RUB,,Супермаркеты,5411.0,"Magazin ""Svetik""",2,0,120.0
2021-05-27 21:23:57,28.05.2021,*7197,OK,-642.0,RUB,-642.0,RUB,,Супермаркеты,5411.0,IP Bartsits O.R.,12,0,642.0
2021-05-27 16:00:31,27.05.2021,*7197,OK,-245.0,RUB,-245.0,RUB,,Дом и ремонт,2842.0,"""Bitovaya Khimiya""",4,0,245.0
2021-05-27 15:59:54,27.05.2021,*7197,OK,-60.0,RUB,-60.0,RUB,,Супермаркеты,5411.0,IP Bartsits O.R.,1,0,60.0
2021-05-27 13:03:26,27.05.2021,*7197,OK,-60.0,RUB,-60.0,RUB,,Супермаркеты,5411.0,IP Terzyan Z. A.,1,0,60.0
2021-05-27 10:23:39,27.05.2021,*7197,OK,-60.0,RUB,-60.0,RUB,,Супермаркеты,5411.0,IP Bartsits O.R.,1,0,60.0
2021-05-26 11:03:01,30.05.2021,*7197,OK,-1123.0,RUB,-1123.0,RUB,,Транспорт,4121.0,Яндекс Такси,22,0,1123.0
2021-05-26 10:21:24,26.05.2021,*7197,OK,-60.0,RUB,-60.0,RUB,,Книги,5111.0,Sp_Centr Uslug,1,0,60.0
2021-05-26 10:14:01,26.05.2021,*4556,OK,-9000.0,RUB,-9000.0,RUB,,Наличные,6011.0,Снятие в банкомате Тинькофф,0,0,9000.0
2021-05-26 10:11:11,26.05.2021,*7197,FAILED,-9000.0,RUB,-9000.0,RUB,,,,Снятие наличных в банкомате,0,0,9000.0
2021-05-26 10:10:37,26.05.2021,*4556,OK,-9000.0,RUB,-9000.0,RUB,,Наличные,6011.0,Снятие в банкомате Тинькофф,0,0,9000.0
2021-05-26 10:09:41,26.05.2021,*4556,OK,20000.0,RUB,20000.0,RUB,,Пополнения,,Внесение наличных через банкомат Тинькофф,0,0,20000.0
2021-05-26 10:08:17,26.05.2021,*4556,OK,-20000.0,RUB,-20000.0,RUB,,Наличные,6011.0,Снятие в банкомате Тинькофф,0,0,20000.0
2021-05-25 19:58:25,25.05.2021,*7197,OK,-243.96,RUB,-243.96,RUB,,Супермаркеты,5411.0,Магнит,4,0,243.96
2021-05-25 19:23:13,25.05.2021,*7197,OK,-33.0,RUB,-33.0,RUB,,Фастфуд,5814.0,McDonald's,0,0,33.0
2021-05-25 16:48:39,25.05.2021,*7197,OK,-140.0,RUB,-140.0,RUB,,Супермаркеты,5499.0,Avtorskiy Kofe,2,0,140.0
2021-05-25 12:44:41,25.05.2021,*7197,OK,-129.99,RUB,-129.99,RUB,,Супермаркеты,5411.0,Магнит,2,0,129.99
2021-05-25 10:35:31,25.05.2021,*7197,OK,-98.0,RUB,-98.0,RUB,,Супермаркеты,5411.0,Колхоз,1,0,98.0
2021-05-24 18:42:03,24.05.2021,*7197,OK,-35.0,RUB,-35.0,RUB,,Супермаркеты,5411.0,Колхоз,0,0,35.0
